model,metric,label_code,data,pipe_name,pred_id
svm,producer_acc,3.0,0.7719298245614035,none_none,manual_ndvi_2
svm,producer_acc,4.0,0.5737704918032787,none_none,manual_ndvi_2
svm,producer_acc,6.0,0.2987012987012987,none_none,manual_ndvi_2
svm,producer_acc,7.0,0.101123595505618,none_none,manual_ndvi_2
svm,producer_acc,11.0,0.6190476190476191,none_none,manual_ndvi_2
svm,producer_acc,12.0,0.8,none_none,manual_ndvi_2
svm,producer_acc,13.0,0.9444444444444444,none_none,manual_ndvi_2
svm,producer_acc,14.0,0.5,none_none,manual_ndvi_2
svm,producer_acc,16.0,1.0,none_none,manual_ndvi_2
svm,producer_acc,17.0,0.5454545454545454,none_none,manual_ndvi_2
svm,producer_acc,20.0,0.937984496124031,none_none,manual_ndvi_2
svm,user_acc,1.0,0.703125,none_none,manual_ndvi_2
svm,user_acc,2.0,0.4181818181818182,none_none,manual_ndvi_2
svm,user_acc,3.0,0.3120567375886525,none_none,manual_ndvi_2
svm,user_acc,4.0,0.7046979865771812,none_none,manual_ndvi_2
svm,user_acc,6.0,0.2911392405063291,none_none,manual_ndvi_2
svm,user_acc,7.0,0.5625,none_none,manual_ndvi_2
svm,user_acc,11.0,0.2321428571428571,none_none,manual_ndvi_2
svm,user_acc,12.0,0.3571428571428571,none_none,manual_ndvi_2
svm,user_acc,13.0,0.5666666666666667,none_none,manual_ndvi_2
svm,user_acc,14.0,0.2857142857142857,none_none,manual_ndvi_2
svm,user_acc,16.0,0.21621621621621623,none_none,manual_ndvi_2
svm,user_acc,17.0,0.16216216216216217,none_none,manual_ndvi_2
svm,user_acc,20.0,0.9453125,none_none,manual_ndvi_2
rf,overall_accuracy,,0.5964912280701754,smote_tomeklinks,manual_2
rf,balanced_accuracy,,0.6485173240395578,smote_tomeklinks,manual_2
rf,kappa,,0.5393000593884745,smote_tomeklinks,manual_2
rf,producer_acc,1.0,0.7704918032786885,smote_tomeklinks,manual_2
rf,producer_acc,2.0,0.2695035460992907,smote_tomeklinks,manual_2
rf,producer_acc,3.0,0.8245614035087719,smote_tomeklinks,manual_2
rf,producer_acc,4.0,0.5956284153005464,smote_tomeklinks,manual_2
rf,producer_acc,6.0,0.5454545454545454,smote_tomeklinks,manual_2
rf,producer_acc,7.0,0.2640449438202247,smote_tomeklinks,manual_2
rf,producer_acc,11.0,0.5238095238095238,smote_tomeklinks,manual_2
rf,producer_acc,12.0,0.84,smote_tomeklinks,manual_2
rf,producer_acc,13.0,0.8888888888888888,smote_tomeklinks,manual_2
rf,producer_acc,14.0,0.7291666666666667,smote_tomeklinks,manual_2
rf,producer_acc,16.0,0.75,smote_tomeklinks,manual_2
rf,producer_acc,17.0,0.5454545454545454,smote_tomeklinks,manual_2
rf,producer_acc,20.0,0.8837209302325582,smote_tomeklinks,manual_2
rf,user_acc,1.0,0.7401574803149606,smote_tomeklinks,manual_2
rf,user_acc,2.0,0.4418604651162791,smote_tomeklinks,manual_2
rf,user_acc,3.0,0.42727272727272725,smote_tomeklinks,manual_2
rf,user_acc,4.0,0.6123595505617978,smote_tomeklinks,manual_2
rf,user_acc,6.0,0.4329896907216495,smote_tomeklinks,manual_2
rf,user_acc,7.0,0.42342342342342343,smote_tomeklinks,manual_2
rf,user_acc,11.0,0.34375,smote_tomeklinks,manual_2
rf,user_acc,12.0,0.5,smote_tomeklinks,manual_2
rf,user_acc,13.0,0.6956521739130435,smote_tomeklinks,manual_2
rf,user_acc,14.0,0.6363636363636364,smote_tomeklinks,manual_2
rf,user_acc,16.0,0.46153846153846156,smote_tomeklinks,manual_2
rf,user_acc,17.0,0.4285714285714286,smote_tomeklinks,manual_2
rf,user_acc,20.0,0.912,smote_tomeklinks,manual_2
