ESPE,ESPE_rc,YEAR,source,FCC,Ocu1,tile_name,coastal_spring,blue_spring,green_spring,red_spring,nir_spring,swir1_spring,swir2_spring,coastal_summer,blue_summer,green_summer,red_summer,nir_summer,swir1_summer,swir2_summer,coastal_summerlong,blue_summerlong,green_summerlong,red_summerlong,nir_summerlong,swir1_summerlong,swir2_summerlong,aspect,dem,shadow,slope,acibasi
4.0,4,2009.0,Digitized,,,p11_1,133.0,112.0,281.0,402.0,2206.0,1556.0,960.0,368.66666,422.0,715.6667,598.0,3356.6667,1830.0,853.0,368.66666,422.0,715.6667,598.0,3356.6667,1830.0,853.0,19.294815063476562,1102.0,89.0,25.73487091064453,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,969.0,1045.0,1254.0,1130.5,3140.0,2031.5,1217.0,969.0,1045.0,1254.0,1130.5,3140.0,2031.5,1217.0,388.6507873535156,1139.0,95.0,23.37203025817871,1.0
4.0,4,2009.0,Digitized,,,p11_1,120.0,123.0,341.0,237.0,1937.0,737.0,434.0,1134.0,1214.5,1399.0,1238.5,2930.0,1862.5,1177.0,1134.0,1214.5,1399.0,1238.5,2930.0,1862.5,1177.0,-18.684494018554688,1284.0,130.0,14.488227844238281,1.0
4.0,4,2009.0,Digitized,,,p11_1,116.0,127.0,341.0,282.0,1932.0,791.0,390.0,1198.5,1281.5,1480.0,1342.5,2820.0,1999.0,1400.0,1198.5,1281.5,1480.0,1342.5,2820.0,1999.0,1400.0,5.3727312088012695,1218.0,117.0,18.05037498474121,1.0
4.0,4,2009.0,Digitized,,,p11_1,153.0,128.0,270.0,272.0,1863.0,767.0,455.0,824.0,855.0,947.0,831.0,2459.0,1437.0,817.5,824.0,855.0,947.0,831.0,2459.0,1437.0,817.5,366.3919982910156,1259.0,121.0,16.796154022216797,1.0
4.0,4,2009.0,Digitized,,,p11_1,116.0,110.0,264.0,217.0,1842.0,916.0,419.0,1921.5,2005.0,2175.5,2025.5,3833.0,2975.5,2190.0,1921.5,2005.0,2175.5,2025.5,3833.0,2975.5,2190.0,345.1549987792969,1251.0,131.0,14.216604232788086,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,155.0,160.0,394.0,286.0,2749.0,1170.0,590.0,155.0,160.0,394.0,286.0,2749.0,1170.0,590.0,14.294238090515137,1175.0,119.0,17.806011199951172,1.0
4.0,4,2009.0,Digitized,,,p11_1,116.0,117.0,313.0,251.0,1780.0,741.0,418.0,107.0,108.0,287.0,199.0,2079.0,862.0,422.0,107.0,108.0,287.0,199.0,2079.0,862.0,422.0,-16.38237953186035,1209.0,137.0,13.004172325134277,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,227.0,217.0,376.0,290.0,2401.0,1016.0,532.0,227.0,217.0,376.0,290.0,2401.0,1016.0,532.0,356.6973876953125,1236.0,132.0,13.9612455368042,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,146.0,146.0,356.0,262.0,2522.0,997.0,507.0,146.0,146.0,356.0,262.0,2522.0,997.0,507.0,14.506988525390625,1151.0,112.0,20.406164169311523,1.0
